facility_name,Final_Score,Relevance,tender_score,matched_name,match_score,registered_business_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
Wodonga,0.51,High,2.20,wodonga quarries,100.00,WODONGA QUARRIES PTY LTD,VIC,West Wodonga,136 EDWARDS RD,3690,911,Gravel and Sand Quarrying,"Sand quarrying, washing or screening",26006795857.00,6795857.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030851
GIRGARRE,0.50,High,0.00,,52.63,ACM PROCESSING PTY LTD,VIC,Girgarre,506 CURR RD,3624,1131,Milk and Cream Processing,Dairy processing,34622519322.00,622519322.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030736
Brimbank,0.50,High,0.00,,57.14,HEXION PTY LTD,VIC,Deer Park,"GATE 3, 765 BALLARAT RD",3023,1821,Synthetic Resin and Synthetic Rubber Manufacturing,Manufacture of formaldehyde based resins,32004271827.00,4271827.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00028989
FRASER ROAD LANDFILL,0.50,High,0.00,,61.90,BAXTER BUSINESS PTY LTD,VIC,Clayton South,FRASER RD,3169,2921,Waste Treatment and Disposal Services,Landfill,38099593594.00,99593594.00,http://www.cleanaway.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00022864
HUHTAMAKI FIBER FOODSERVICE PRESTON,0.50,High,0.00,,64.29,HUHTAMAKI AUSTRALIA PTY LIMITED,VIC,Preston,77 RAGLAN ST,3072,1510,"Pulp, Paper and Paperboard Manufacturing",Manufacture of Paper Pulp Moulded Fibre Packaging Products,43003122843.00,3122843.00,http://www.huhtamaki.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00029064
ContiTech Australia,0.49,Medium,5.00,contitech australia,100.00,CONTITECH AUSTRALIA PTY LTD,VIC,Bayswater,8 DUNLOP CT,3153,1920,Natural Rubber Product Manufacturing,Conveyor belt manufacture,97000468780.00,468780.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00003987
Old Geelong Road landfill,0.48,Medium,0.00,,59.57,BROOKLYN HUB PTY LTD,VIC,Brooklyn,174 OLD GEELONG RD,3012,2921,Waste Treatment and Disposal Services,Former landfill - historical waste landfill operations have ceased,,609296808.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006985
Aspen Australia Dandenong,0.48,Medium,5.00,c3 australia,85.71,ASPEN PHARMA PTY LTD,VIC,Dandenong,300 FRANKSTON-DANDENONG RD,3175,1841,Human Pharmaceutical and Medicinal Product Manufacturing,Manufacture of pharmaceutical products,88004118594.00,4118594.00,http://intranet-aspen.scl.signet.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006830
AIRSTEP AUSTRALIA PTY LTD,0.47,Medium,5.00,airstep australia,100.00,AIRSTEP AUSTRALIA PTY LTD,VIC,Dandenong,20 SOUTH GIPPSLAND HWY,3175,1920,Natural Rubber Product Manufacturing,Carpet Underlay Manufacturing & Warehousing,24144967215.00,144967215.00,http://www.airstep.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004082
Holden's Boiler House,0.47,Medium,1.12,gm holden,80.00,RCR TOMLINSON LTD,VIC,Port Melbourne,241 SALMON ST,3207,2611,Fossil Fuel Electricity Generation,Generation of high temperature hot water,81008898486.00,8898486.00,http://www.rcrtom.com.au,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2008/jurisdiction-facility/00024804
BALLARAT CITY COUNCIL,0.47,Medium,1.12,hobart city council,85.00,BALLARAT CITY COUNCIL,VIC,Smythesdale,"BMG BORAL GRAVEL PITS, GLENELG HWY",3351,2921,Waste Treatment and Disposal Services,Site established for the disposal of general domestic and commercial waste within the Highlands Regional Group.,37601599422.00,,,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2006/jurisdiction-facility/00006932
Visy Melbourne Plant,0.47,Medium,0.00,,62.07,VISY GLASS OPERATIONS (AUSTRALIA) PTY LTD,VIC,Spotswood,BOOKER ST,3015,2010,Glass and Glass Product Manufacturing,Manufacture of glass containers,94004230326.00,4230326.00,http://www.visy.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004231
Amcor Flexibles Asia Pacific - Moorabbin,0.47,Medium,5.00,amcor flexibles australia,75.00,AMCOR FLEXIBLES (AUSTRALIA) PTY LTD,VIC,Moorabbin,15 KEYS RD,3189,1611,Printing,"Manufacture of flexible packaging to food, pharmaceutical and general industry",46113833748.00,113833748.00,http://www.amcor.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004077
Denyer Rd Landfill,0.46,Medium,0.00,,61.54,GANNAWARRA SHIRE COUNCIL,VIC,Kerang,PT OF C/A 55 DENYER RD,3579,2921,Waste Treatment and Disposal Services,Waste Disposal,98993182937.00,,http://www.gannawarra.vic.gov.au,2021/2022,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2022/jurisdiction-facility/00006951
Dartmoor Sawmill,0.46,Medium,0.00,,64.52,GREEN TRIANGLE FOREST PRODUCTS LTD,VIC,Dartmoor,LINDSAY RD,3304,1411,Log Sawmilling,"Timber milling: debarking, cutting, drying and planing of pine logs; copper-chrome-arsenate (CCA) timber treatment.",24087010446.00,87010446.00,,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2008/jurisdiction-facility/00004817
GRAMPIANS WOOL INDUSTRIES P/L,0.46,Medium,1.12,grampians wool industries p l,100.00,GRAMPIANS WOOL INDUSTRIES P/L,VIC,Hamilton,86-94 LODGE RD,3300,1311,Wool Scouring,Wool scouring and carbonising,30006822082.00,6822082.00,,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2008/jurisdiction-facility/00004451
Selkirk Pty Ltd,0.46,Medium,0.00,,50.00,SELKIRK PTY LTD,VIC,Ballarat,630 HOWITT ST,3350,2021,Clay Brick Manufacturing,Clay brick manufacturing,,608443410.00,http://www.selkirk.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004340
Leitchville Site,0.45,Medium,0.00,,57.89,MURRAY GOULBURN CO-OP CO LTD,VIC,Leitchville,KING ALBERT AV,3567,1131,Milk and Cream Processing,Manufacture of cheddar cheese and and whey processing.,23004277089.00,4277089.00,,2009/2010,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2010/jurisdiction-facility/00004593
Coldstream Landfill & Waste Transfer Centre,0.44,Medium,2.20,ace waste,71.43,YARRA RANGES SHIRE COUNCIL,VIC,Coldstream,CNR INGRAM RD & LEONARD RD,3770,2921,Waste Treatment and Disposal Services,"Landfill operations, and the recovery and recycling of waste deposited at the recovery and waste transfer centre.",21973226012.00,,,2004/2005,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2005/jurisdiction-facility/00006999
Tylden Quarry,0.44,Medium,0.00,,63.16,FULTON HOGAN QUARRIES PTY LTD,VIC,Tylden,11-22 WOODEND RD,3444,990,Other Non-Metallic Mineral Mining and Quarrying,Quarry,16004475076.00,4475076.00,http://www.fultonhogan.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030540
Portland Landfill,0.44,Medium,2.21,landfill operations,72.22,GLENELG SHIRE COUNCIL,VIC,Portland,DERRIL RD,3305,2921,Waste Treatment and Disposal Services,Landfill (Closed),48217289490.00,,http://www.glenelg.vic.gov.au,2020/2021,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2021/jurisdiction-facility/00006977
CHH Morwell Sawmill,0.44,Medium,0.00,,64.71,CARTER HOLT HARVEY PLYWOOD PTY LTD,VIC,Hazelwood North,340 TRAMWAY RD,3840,1411,Log Sawmilling,Processing of timber for the building industry.,,2993106.00,http://www.chh.com,2017/2018,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2018/jurisdiction-facility/00004617
Corangamite Regional Landfill,0.43,Medium,2.21,landfill operations,66.67,CORANGAMITE SHIRE COUNCIL,VIC,Naroghid,LOT 2 PS82958 SECTION 4 COUNTY BOUNDARY & FOREST PARK RDS,3266,2921,Waste Treatment and Disposal Services,Waste disposal,87042518438.00,,http://www.corangamite.vic.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006949
Benalla Landfill,0.43,Medium,2.20,landfill gas and power,66.67,DELATITE SHIRE COUNCIL,VIC,Benalla,OLD FARNLEY RD,3672,2921,Waste Treatment and Disposal Services,Waste disposal,,,http://www.delatite.vic.gov.au,2000/2001,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2001/jurisdiction-facility/00006986
Cobram Boilerhouse,0.43,Medium,0.00,,56.25,MURRAY GOULBURN CO-OPERATIVE CO LIMITED,VIC,Cobram,KAROOK ST,3644,2611,Fossil Fuel Electricity Generation,The 60 MW boiler house was modified during the 2014/15 financial year to burn natural gas instead of briquettes.,23004277089.00,4277089.00,,2014/2015,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2015/jurisdiction-facility/00020298
Esso - Crude Oil Stabilisation Plant,0.43,Medium,0.00,,50.00,ESSO AUSTRALIA PTY LTD,VIC,Longford,GARRETTS RD,3851,700,Oil and Gas Extraction,Crude oil stabilisation and gas processing,49000018566.00,18566.00,http://www.exxonmobil.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004347
Foster Landfill,0.43,Medium,2.21,landfill operations,70.59,SOUTH GIPPSLAND SHIRE COUNCIL,VIC,Foster,SOUTH GIPPSLAND HWY,3960,2921,Waste Treatment and Disposal Services,Waste disposal,67816770786.00,,,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2003/jurisdiction-facility/00007000
CRYSTAL OCEAN FPSO,0.43,Medium,0.00,,60.00,ROC OIL (VIC) PTY LIMITED,VIC,Orbost,OFFSHORE EASTERN BASS STRAIT,3888,700,Oil and Gas Extraction,Hydrocarbon processing for stabilised crude on the Floating Production Storage Off-take (FPSO) vessel moored in Basker-Manta-Gummy fields in Eastern Bass Strait.,46107406771.00,107406771.00,http://www.rocoil.com.au,2010/2011,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2011/jurisdiction-facility/00029066
Western Recycle,0.43,Medium,2.20,western energy,68.97,WESTERN LAND RECLAMATION P/L,VIC,Brooklyn,JONES RD,3012,2921,Waste Treatment and Disposal Services,Waste disposal services,49005369086.00,5369086.00,http://www.sunshinegroupe.com.au,2021/2022,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2022/jurisdiction-facility/00019290
HAMILTON LANDFILL,0.43,Medium,2.21,landfill operations,72.22,SOUTHERN GRAMPIANS SHIRE COUNCIL,VIC,Hamilton,CNR ELIJAH ST & DALE ST,3300,2921,Waste Treatment and Disposal Services,Landfill and resource recovery facility,55135536448.00,,http://www.sthgrampians.vic.gov.au,2019/2020,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2020/jurisdiction-facility/00006997
Koorlong Landfill,0.43,Medium,2.21,landfill operations,72.22,MILDURA RURAL CITY COUNCIL,VIC,Koorlong,TWENTIETH ST,3501,2921,Waste Treatment and Disposal Services,Landfill - closed 2001,42498937037.00,,http://www.mrcc.vic.gov.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00006974
HEPBURN SHIRE COUNCIL,0.43,Medium,2.21,baw baw shire council,86.67,HEPBURN SHIRE COUNCIL,VIC,Daylesford,DAYLESFORD LANDFILL AJAX RD,3460,2921,Waste Treatment and Disposal Services,Details not supplied.,,,,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2003/jurisdiction-facility/00006937
Kilmore Landfill,0.43,Medium,2.20,landfill gas and power,66.67,MITCHELL SHIRE COUNCIL,VIC,Kilmore,WALDERS RD,3764,2921,Waste Treatment and Disposal Services,Landfill,27352592142.00,,http://www.mitchellshire.vic.gov.au,2011/2012,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2012/jurisdiction-facility/00006998
Greenham Gippsland,0.43,Medium,2.20,greenham gippsland,100.00,GREENHAM GIPPSLAND PTY LTD,VIC,Moe,330 MOE-WALHALLA RD,3825,1111,Meat Processing,Abattoir - Meat Processing,85622028728.00,622028728.00,https://www.greenham.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030836
Kangaroo Ground Landfill,0.43,Medium,2.20,landfill gas and power,65.22,NILLUMBIK SHIRE COUNCIL,VIC,Kangaroo Ground,GRAHAM RD,3097,2921,Waste Treatment and Disposal Services,Landfill,64487894794.00,,http://www.nillumbik.vic.gov.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00006975
BAW BAW SHIRE COUNCIL,0.43,Medium,2.21,baw baw shire council,100.00,BAW BAW SHIRE COUNCIL,VIC,Lardner,SIMPSONS RD,3821,2921,Waste Treatment and Disposal Services,Landfill closed 1999,47274526683.00,,,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2003/jurisdiction-facility/00006924
Caroma Industries Ltd,0.42,Medium,1.12,bis industries,83.33,CAROMA INDUSTRIES LTD,VIC,Coburg,148 SUSSEX ST,3058,2029,Other Ceramic Product Manufacturing,Manufacture of vitreous china sanitary ware,35000189499.00,189499.00,http://www.caroma.com.au,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2006/jurisdiction-facility/00004222
Bacchus Marsh,0.41,Medium,0.00,,53.33,BARRO GROUP PTY LIMITED,VIC,Darley,2668 GISBORNE ROAD,3340,911,Gravel and Sand Quarrying,"Sand quarrying, washing or screening",42005105724.00,5105724.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030850
Bacchus Marsh,0.41,Medium,0.00,,53.33,MOORABOOL SHIRE COUNCIL,VIC,Maddingley,NORTH SIDE OF KERRS RD,3340,2921,Waste Treatment and Disposal Services,Landfill,29352754296.00,,http://www.moorabool.vic.gov.au,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2009/jurisdiction-facility/00006984
Cathies Lane Landfill Site,0.41,Medium,0.00,,62.22,KNOX CITY COUNCIL,VIC,Wantirna South,CNR HIGH ST & CATHIES LA,3152,2921,Waste Treatment and Disposal Services,Disposal of non hazardous putrescible and solid inert waste,24477480661.00,,http://www.knox.vic.gov.au,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2004/jurisdiction-facility/00004320
Cobden,0.41,Medium,0.00,,53.33,FONTERRA AUSTRALIA PTY LTD,VIC,Cobden,129 CURDIE ST,3266,1131,Milk and Cream Processing,Dairy product manufacturing,52006483665.00,6483665.00,http://www.fonterra.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004343
KOROIT SITE,0.41,Medium,0.00,,51.61,BEGA CHEESE LIMITED,VIC,Koroit,MIDGLEY ST,3282,1131,Milk and Cream Processing,Dairy food processing plant,81008358503.00,8358503.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004336
The Packaging Company,0.40,Medium,5.00,opal packaging australia,81.82,VISY BOARD P/L,VIC,Reservoir,262-266 EDWARDES ST,3073,1521,Corrugated Paperboard and Paperboard Container Manufacturing,Making corrugated cardboard from recycled paper and converting it into cardboard boxes.,58005787913.00,5787913.00,http://www.visy.com.au,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2004/jurisdiction-facility/00004845
ALTONA PROPERTIES P/L,0.40,Medium,5.00,simplot australia properties,69.39,ALTONA PROPERTIES P/L,VIC,Altona,599 KOROROIT CREEK RD,3018,1821,Synthetic Resin and Synthetic Rubber Manufacturing,Covers four months of PVC manufacturing operations and eight months of plant decommissioning.,59078616654.00,78616654.00,http://www.av.com.au,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2003/jurisdiction-facility/00004158
AXEDALE SANDS quarry,0.39,Medium,0.00,,62.50,HEIDELBERG MATERIALS AUSTRALIA PTY LTD,VIC,Axedale,MCIVOR HWY,3551,911,Gravel and Sand Quarrying,Quarrying,90009679734.00,9679734.00,https://www.heidelbergmaterials.com.au/en,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030730
Ford - Broadmeadows Plant,0.39,Medium,0.00,,55.32,FORD MOTOR COMPANY OF AUSTRALIA LIMITED,VIC,Campbellfield,1727-1743 SYDNEY RD,3061,2311,Motor Vehicle Manufacturing,Motor vehicle manufacturing,30004116223.00,4116223.00,http://www.ford.com.au,2016/2017,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2017/jurisdiction-facility/00004019
AIR LIQUIDE AUST LTD,0.39,Medium,5.00,air liquide australia,86.49,AIR LIQUIDE AUST LTD,VIC,Altona,631 KOROROIT CREEK RD,3018,1811,Industrial Gas Manufacturing,"Manufacture and distribution of industrial gases (Oxygen, Nitrogen, Argon and Carbon Dioxide)",57004385782.00,4385782.00,http://www.airliquide.com.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00007069
Rockbank Quarry,0.37,Medium,2.20,quarry products,66.67,CENTRAL PRE-MIX CONCRETE PTY LTD,VIC,Rockbank,393 LEAKES RD,3335,919,Other Construction Material Mining,Quarrying of road base and concrete aggregates,62008070862.00,8070862.00,http://www.adbri.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00022767
ASSA ABLOY AUSTRALIA PTY LIMITED,0.36,Medium,5.00,assa abloy australia,100.00,ASSA ABLOY AUSTRALIA PTY LIMITED,VIC,Oakleigh,235 HUNTINGDALE RD,3166,2299,Other Fabricated Metal Product Manufacturing n.e.c.,"Manufacturing of security products, including zinc diecasting, electroplating and assembly processes.",90086451907.00,86451907.00,http://www.assaabloy.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00026936
JOHNSON TILES P/L,0.36,Medium,0.00,,55.17,JOHNSON TILES P/L,VIC,Bayswater,421 DORSET RD,3153,2029,Other Ceramic Product Manufacturing,Manufacture of glazed ceramic wall tiles,66004576103.00,4576103.00,http://www.johnsontiles.com.au,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2004/jurisdiction-facility/00003990
Lilydale Lime Manufacturing Plant,0.34,Medium,2.25,mcneil manufacturing,78.79,SIBELCO LIME (VICTORIA) PTY LTD,VIC,Lilydale,CAVE HILL RD,3140,2031,Cement and Lime Manufacturing,Quarrying limestone and producing crushed limestone products. Calcining limestone to produce quicklime. Hydrating quicklime to produce hydrated lime.,78055274569.00,55274569.00,http://www.sibelco.com.au,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2016/jurisdiction-facility/00004005
CLARINDA RECYCLING,0.34,Medium,2.08,boral recycling,75.00,RECYCLING INDUSTRIES PTY LTD,VIC,Clarinda,275 KINGSTON RD,3169,2922,Waste Remediation and Materials Recovery Services,Construction and demolition recycling,18067043994.00,67043994.00,http://www.alexfraser.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030735
Bonlac Foods Camperdown,0.33,Medium,0.00,,63.83,BONLAC FOODS LTD,VIC,Camperdown,MANIFOLD ST,3260,1131,Milk and Cream Processing,Dairy plant.,,6483665.00,http://www.bonlac.com.au,1999/2000,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2000/jurisdiction-facility/00004373
AGL Symex Cogeneration Unit,0.32,Medium,2.20,osborne cogeneration,75.00,AGL ENERGY SALES & MARKETING LIMITED,VIC,Port Melbourne,101 BOUNDARY RD,3207,2611,Fossil Fuel Electricity Generation,Natural Gas Cogeneration Unit,18076092067.00,76092067.00,,2012/2013,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2013/jurisdiction-facility/00022831
Australian Lamb (Colac) Pty Ltd,0.32,Medium,2.20,australian lamb colac,100.00,AUSTRALIAN LAMB (COLAC) PTY LTD,VIC,Colac,1 TRISTANIA DR,3250,1111,Meat Processing,Meat Processing,56087919944.00,87919944.00,https://minervafoods.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00022776
REID BROS TIMBER PTY LTD,0.32,Medium,2.20,reid bros timber,100.00,REID BROS TIMBER PTY LTD,VIC,Yarra Junction,30-42  LITTLE YARRA RD,3797,1411,Log Sawmilling,Saw milling and kiln drying of timber,72118338211.00,118338211.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00029278
ROCLA PTY LIMITED,0.32,Medium,2.20,rocla,100.00,ROCLA PTY LIMITED,VIC,Campbellfield,BOLINDA RD,3061,2034,Concrete Product Manufacturing,Manufacture of concrete products,31000032191.00,32191.00,http://www.rocla.com.au,2020/2021,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2021/jurisdiction-facility/00004861
AGL Somerton Power Station,0.32,Medium,2.20,exmouth power station,76.47,AGL POWER GENERATION PTY LIMITED,VIC,Somerton,40 OHERNS RD,3062,2611,Fossil Fuel Electricity Generation,Peaking Power Generation 170MW,45086586192.00,86586192.00,http://www.agl.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00021386
Fairfax media Wendouree ACM,0.31,Medium,2.20,fairfax media,100.00,FAIRFAX MEDIA LIMITED,VIC,Wendouree,30-32 GRANDLEE DR,3355,1611,Printing,Printing,15008663161.00,8663161.00,,2019/2020,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2020/jurisdiction-facility/00030635
Frew Kyneton Pty Ltd,0.31,Medium,2.20,frew kyneton,100.00,FREW (KYNETON) PTY LTD,VIC,Melton,82 – 98 FERRIS RD ,3777,1111,Meat Processing,Meat processing and packaging,25006627729.00,6627729.00,,2010/2011,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2011/jurisdiction-facility/00004053
VICTORIA WOOL PROCESSORS (AUST) PTY LTD,0.31,Medium,2.20,victoria wool processors aust,100.00,VICTORIA WOOL PROCESSORS (AUST) PTY LTD,VIC,Laverton North,38-44 DOHERTYS RD,3026,1311,Wool Scouring,Wool scouring,38050032356.00,50032356.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00029246
PHILLIPS BRICKS & POTTERY PROPRIETARY LIMITED,0.31,Medium,1.60,phillips bricks and pottery proprietary,100.00,PHILLIPS BRICKS & POTTERY PROPRIETARY LIMITED,VIC,Bendigo,MCIVOR HWY,3550,2021,Clay Brick Manufacturing,Clay brick manufacturing,28004549213.00,4549213.00,http://www.selkirk.com.au,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2014/jurisdiction-facility/00004066
Henry Jones Foods - Goulburn Valley Creamery,0.31,Medium,2.20,henry jones foods,100.00,HENRY JONES FOODS PTY LTD,VIC,Kyabram,85 MCCORMICK ROAD,3620,1131,Milk and Cream Processing,"Manufacturing of dairy products and sauces
",93636288474.00,636288474.00,https://www.henryjonesfoods.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00007635
Heytesbury Gas Facility,0.31,Medium,0.00,,56.52,ORIGIN ENERGY RESOURCES LTD,VIC,Timboon,GAS WORKS RD NORTH PAARATTE,3268,700,Oil and Gas Extraction,Gas extraction and production,66007845338.00,7845338.00,http://www.santos.com.au,2004/2005,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2005/jurisdiction-facility/00009624
CCL Secure,0.31,Medium,2.21,ccl secure,100.00,CCL SECURE PTY LTD,VIC,Craigieburn,1 POTTER ST,3064,1611,Printing,Security printing - gravure on polymer,13072353452.00,72353452.00,http://www.cclsecure.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00019576
AIW PRINTING PTY LTD,0.31,Medium,2.20,aiw printing,100.00,AIW PRINTING PTY LTD,VIC,Springvale,26-30 PARSONS AV,3171,1611,Printing,"The facility operates printing presses and produces retail catalogues, magazine, newspaper inserts and advertising brochures.",35093344328.00,93344328.00,http://www.aiwprinting.com.au,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2016/jurisdiction-facility/00026446
Ararat Abattoir,0.31,Medium,2.20,cowra abattoir,75.86,ALINDARE PTY. LTD.,VIC,Ararat,NOTT RD,3377,1111,Meat Processing,Processing sheep and goats,62062233569.00,62233569.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006820
OVATO PRINT PTY LTD,0.31,Medium,2.21,pmp print,71.43,OVATO PRINT PTY LTD,VIC,Clayton,37-49 BROWNS RD,3168,1611,Printing,Printing - Heatset web offset,76051706499.00,51706499.00,http://www.ovato.com.au,2020/2021,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2021/jurisdiction-facility/00007628
M.C. HERD PROPRIETARY LIMITED,0.31,Medium,2.20,m c herd proprietary,100.00,M.C. HERD PROPRIETARY LIMITED,VIC,Corio,245 BACCHUS MARSH RD,3214,1111,Meat Processing,Beef and lamb slaughtering and processing,80004289927.00,4289927.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004098
